City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Talnakh,RU,69.4865,88.3972,75.47,36,0,2.62,clear sky
232,Moranbah,AU,-22.0016,148.0466,55.74,83,0,8.66,clear sky
233,Atar,MR,20.5169,-13.0499,95.85,29,10,9.75,clear sky
234,Souillac,MU,-20.5167,57.5167,72.36,94,75,8.05,light rain
235,Lenggries,DE,47.6833,11.5667,63.64,92,100,3.02,overcast clouds
236,Krasnokamensk,RU,50.0979,118.0369,64.17,81,68,4.18,broken clouds
237,Andenes,NO,69.3143,16.1194,67.98,56,0,8.05,clear sky
238,Cabo San Lucas,MX,22.8909,-109.9124,80.06,79,100,4.56,overcast clouds
239,Thompson,CA,55.7435,-97.8558,62.76,100,90,4.61,smoke
240,Saint Andrews,US,34.0454,-81.1293,77.59,91,90,0.0,mist
241,Kirakira,SB,-10.4544,161.9205,77.61,85,83,6.06,broken clouds
242,Nanortalik,GL,60.1432,-45.2371,43.9,85,50,10.07,scattered clouds
243,Port-Gentil,GA,-0.7193,8.7815,75.6,82,34,14.18,scattered clouds
244,Hofn,IS,64.2539,-15.2082,64.42,63,0,5.75,clear sky
245,Jinxiang,CN,27.4327,120.6062,80.1,85,0,2.77,clear sky
246,Lubao,PH,14.9167,120.55,84.15,89,100,5.39,overcast clouds
247,Hobyo,SO,5.3505,48.5268,80.01,72,100,29.66,overcast clouds
248,Ugoofaaru,MV,5.6667,73.0,81.66,72,100,16.04,overcast clouds
249,Bethel,US,41.3712,-73.414,73.29,87,1,0.0,clear sky
250,Abapo,BO,-18.8333,-63.4667,70.36,40,16,0.83,few clouds
251,Nantucket,US,41.2835,-70.0995,75.99,87,1,12.66,clear sky
252,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,37,10.0,scattered clouds
253,Tezu,IN,27.9167,96.1667,79.18,95,91,2.48,overcast clouds
254,Shelburne,CA,44.0787,-80.2041,68.59,87,60,5.53,broken clouds
255,Topolobampo,MX,25.6,-109.05,78.12,86,100,8.9,overcast clouds
256,Derzhavinsk,KZ,51.1,66.3167,74.86,31,18,16.82,few clouds
257,Jatiroto,ID,-7.8833,111.1167,75.54,89,37,2.35,scattered clouds
258,Bonfim,BR,3.0833,-59.95,77.95,83,98,1.36,overcast clouds
259,Homer,US,59.6425,-151.5483,55.29,76,90,0.0,light rain
260,At-Bashi,KG,41.1702,75.8106,71.92,30,26,9.15,scattered clouds
261,Inhambane,MZ,-23.865,35.3833,74.5,50,0,9.51,clear sky
262,Val-David,CA,46.0334,-74.2159,67.71,75,2,4.52,clear sky
263,San Quintin,MX,30.4833,-115.95,65.07,90,20,2.8,few clouds
264,San-Pedro,CI,4.7485,-6.6363,80.65,71,98,9.95,overcast clouds
265,Norman Wells,CA,65.282,-126.8329,44.2,83,100,2.44,overcast clouds
266,Lae,PG,-6.7221,146.9847,75.69,86,93,1.86,overcast clouds
267,Kupino,RU,54.3663,77.2981,67.23,79,100,5.37,overcast clouds
268,Banes,CU,20.9625,-75.7186,84.81,66,8,11.3,clear sky
269,Redlands,US,34.0556,-117.1825,81.54,54,1,3.44,clear sky
270,Goderich,CA,43.7501,-81.7165,72.91,83,100,5.75,overcast clouds
271,Richards Bay,ZA,-28.783,32.0377,82.54,30,0,11.61,clear sky
272,Hyeres,FR,43.1167,6.1167,90.25,35,0,16.11,clear sky
273,Mar Del Plata,AR,-38.0023,-57.5575,50.02,62,0,9.22,light rain
274,Hirara,JP,24.8,125.2833,79.63,89,95,17.22,overcast clouds
275,Hithadhoo,MV,-0.6,73.0833,83.26,67,100,1.32,light rain
276,Malakal,SS,9.5334,31.6605,80.74,74,100,2.3,light rain
277,Qaqortoq,GL,60.7167,-46.0333,48.7,74,8,14.92,clear sky
278,Tiksi,RU,71.6872,128.8694,46.76,86,21,6.67,few clouds
279,Marsa Matruh,EG,31.3525,27.2453,85.86,50,0,16.53,clear sky
280,Peace River,CA,56.2501,-117.286,52.66,97,20,4.0,few clouds
